,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16,7/1/16,8/1/16,9/1/16,10/1/16
Commodity Beverage Price Index - Monthly Price,174.34,174.19,172.47,159.03,156.19,160.98,159.94,162.53,167.92,170.1,168.76,170.39,168.84
Commodity Price Index - Monthly Price,103.47,97.47,90.73,83.05,83.85,92.2,96.2,102.07,105.29,102.62,102.54,102.16,108
Commodity Fuel (energy) Index - Monthly Price,89.75,83.09,72.64,60.61,62.07,71.5,76.32,84.74,88.03,83.45,84.91,85.58,94.19
Commodity Food and Beverage Price Index - Monthly Price,137.85,134.65,136.3,136.62,137.04,141.76,145.06,150.22,156.39,153.11,146.95,144.44,145.47
Commodity Food Price Index - Monthly Price,133.9,130.37,132.39,134.19,134.96,139.68,143.44,148.88,155.14,151.26,144.58,141.63,142.93
Commodity Industrial Inputs Price Index - Monthly Price,115.85,109.3,106.89,106.03,104.98,113.28,115.16,112.98,112.99,117.5,118.28,116.42,117.59
Commodity Metals Price Index - Monthly Price,117.97,109.14,105.06,103.7,108.89,115.97,117.83,113.86,113.57,120.01,121.68,119.1,121.01
Commodity Non-Fuel Price Index - Monthly Price,126.91,122.04,121.67,121.4,121.09,127.59,130.18,131.69,134.8,135.39,132.68,130.5,131.6
"Crude Oil (petroleum), Price index - Monthly Price",88.29,81.06,68.6,56.05,58.32,70.06,76.51,86.31,89.53,83.05,84.25,84.64,92.61
