Date,Price,Open,High,Low,Vol,Change %
1-Aug-16,1351.4,1348.8,1353.5,1345.6,1.26K,0.18%
29-Jul-16,1349,1333.2,1353.3,1325.8,6.08K,1.25%
28-Jul-16,1332.3,1339.5,1344.3,1330.1,56.91K,0.43%
27-Jul-16,1326.6,1326,1326.3,1326,0.00K,0.45%
26-Jul-16,1320.7,1315.2,1320.3,1315.2,0.06K,0.11%
25-Jul-16,1319.3,1315.7,1318.1,1313.8,0.55K,-0.29%
22-Jul-16,1323.1,1330.7,1330.7,1320.4,0.06K,-0.56%
21-Jul-16,1330.5,1312.8,1329.5,1312.8,0.32K,0.89%
20-Jul-16,1318.8,1331,1337.5,1315.5,0.75K,-0.95%
19-Jul-16,1331.5,1328.5,1333.2,1326.4,0.32K,0.23%
18-Jul-16,1328.4,1327.5,1335,1326.2,0.05K,0.14%
15-Jul-16,1326.5,1333.7,1333.7,1322.9,0.05K,-0.36%
14-Jul-16,1331.3,1341.4,1341.4,1322.7,0.02K,-0.83%
13-Jul-16,1342.4,1341.5,1341.5,1336.7,0.01K,0.62%
12-Jul-16,1334.1,1353.6,1356,1330.3,0.25K,-1.54%
11-Jul-16,1355,1371.7,1371.8,1353,0.03K,-0.12%
8-Jul-16,1356.6,1361.3,1365.8,1335,0.25K,-0.26%
7-Jul-16,1360.1,1366.8,1368.6,1350.5,0.21K,-0.35%
6-Jul-16,1364.9,1359,1374.9,1359,0.13K,0.63%
5-Jul-16,1356.4,1342.2,1356.8,1339.7,0.09K,0.33%
4-Jul-16,1352,1345,1360.15,1343,-,0.48%
3-Jul-16,1345.5,1344.5,1347.55,1338.85,-,0.66%
1-Jul-16,1336.7,1324.5,1344.2,1321.9,0.14K,1.39%
30-Jun-16,1318.4,1315.8,1323.5,1314.5,0.56K,-0.42%
29-Jun-16,1323.9,1311.6,1327.4,1311.6,0.41K,0.65%
28-Jun-16,1315.3,1314.8,1315.6,1314.1,0.02K,-0.54%
27-Jun-16,1322.5,1330,1331.7,1320,0.09K,0.19%
24-Jun-16,1320,1253.7,1355.6,1253.7,0.69K,4.66%
23-Jun-16,1261.2,1263.4,1270.5,1255.2,0.22K,-0.54%
22-Jun-16,1268,1267,1269.2,1264.9,0.05K,-0.20%
21-Jun-16,1270.5,1293.9,1293.9,1266.3,0.13K,-1.51%
20-Jun-16,1290,1288.9,1291.2,1280.3,0.15K,-0.19%
17-Jun-16,1292.5,1280.3,1300.1,1280.3,0.13K,-0.28%
16-Jun-16,1296.1,1296.3,1316.4,1281.1,0.25K,0.80%
15-Jun-16,1285.8,1284.6,1296.2,1278.8,0.16K,0.02%
14-Jun-16,1285.6,1281.8,1289.7,1277.8,0.55K,0.09%
13-Jun-16,1284.4,1276.2,1287.3,1273,0.33K,0.86%
10-Jun-16,1273.4,1267.6,1278,1265.3,0.40K,0.25%
9-Jun-16,1270.2,1262.5,1271.4,1258.1,0.38K,0.83%
8-Jun-16,1259.8,1247.6,1264,1247.3,0.41K,1.24%
7-Jun-16,1244.4,1244,1244.9,1236.5,0.28K,-0.02%
6-Jun-16,1244.6,1244.4,1247.3,1240,1.14K,0.36%
3-Jun-16,1240.1,1209.1,1244.5,1206.4,1.62K,2.50%
2-Jun-16,1209.8,1212.4,1217,1209.6,1.63K,-0.17%
1-Jun-16,1211.9,1215.7,1219.8,1205.4,2.72K,-0.24%
31-May-16,1214.8,1212.5,1217.6,1199,6.43K,0.22%
30-May-16,1212.15,1208.25,1213.15,1201.8,-,-0.14%
27-May-16,1213.8,1220.3,1223.2,1206.4,63.74K,-0.52%
26-May-16,1220.1,1232.6,1232.6,1230.6,0.00K,-0.28%
25-May-16,1223.5,1219.3,1219.3,1218.6,0.01K,-0.44%
24-May-16,1228.9,1240,1240,1228.2,0.02K,-1.77%
23-May-16,1251.1,1251.6,1251.6,1247.5,0.06K,-0.10%
20-May-16,1252.4,1256.6,1256.6,1255.4,0.04K,-0.14%
19-May-16,1254.2,1248,1255.5,1247.5,0.07K,-1.53%
18-May-16,1273.7,1276.4,1276.4,1256.8,0.02K,-0.20%
17-May-16,1276.2,1272.5,1281.6,1270.8,0.02K,0.22%
16-May-16,1273.4,1272.8,1287.8,1272.8,0.04K,0.12%
13-May-16,1271.9,1271.4,1275.7,1264.6,0.07K,0.13%
12-May-16,1270.3,1267,1281.2,1264,0.10K,-0.34%
11-May-16,1274.6,1266.9,1279.2,1266.9,0.05K,0.85%
10-May-16,1263.9,1265.1,1267.4,1258.7,0.02K,-0.13%
9-May-16,1265.6,1286.5,1286.5,1262.3,0.34K,-2.11%
6-May-16,1292.9,1278.6,1295.6,1276.9,0.31K,1.69%
5-May-16,1271.4,1282.9,1286,1270.8,0.33K,-0.15%
4-May-16,1273.3,1286.9,1290,1273,0.11K,-1.35%
3-May-16,1290.7,1292.7,1301.5,1284.5,0.15K,-0.31%
2-May-16,1294.7,1292.1,1304.4,1290.4,0.19K,0.43%
29-Apr-16,1289.2,1267.3,1295.5,1267.2,0.46K,1.87%
28-Apr-16,1265.5,1245.9,1270.1,1238.5,0.89K,1.30%
27-Apr-16,1249.2,1248.6,1249.5,1248.6,0.04K,0.56%
26-Apr-16,1242.2,1239.8,1244.2,1233,0.10K,0.27%
25-Apr-16,1238.9,1231.6,1240.9,1231.6,0.44K,0.83%
22-Apr-16,1228.7,1248.5,1248.5,1228,0.19K,-1.63%
21-Apr-16,1249,1247.7,1270.6,1247.6,0.12K,-0.34%
20-Apr-16,1253.2,1256.1,1256.1,1243,0.18K,0.02%
19-Apr-16,1253,1231.6,1256.2,1228.8,0.39K,1.57%
18-Apr-16,1233.6,1238.7,1241.1,1232.2,0.30K,0.04%
15-Apr-16,1233.1,1225.7,1235,1225.7,0.10K,0.66%
14-Apr-16,1225,1231.4,1243.7,1224.5,0.26K,-1.75%
13-Apr-16,1246.8,1256.5,1256.9,1241.3,0.20K,-1.00%
12-Apr-16,1259.4,1260,1261.7,1253.7,0.19K,0.21%
11-Apr-16,1256.7,1241.5,1258.7,1241.5,0.44K,1.14%
8-Apr-16,1242.5,1241,1242.8,1232,0.41K,0.51%
7-Apr-16,1236.2,1224.8,1242.9,1224.6,0.38K,1.12%
6-Apr-16,1222.5,1230.4,1230.4,1217.6,0.25K,-0.48%
5-Apr-16,1228.4,1215.4,1236.7,1215.4,0.48K,0.85%
4-Apr-16,1218,1221.7,1222.3,1215,2.04K,-0.34%
1-Apr-16,1222.2,1232.3,1235.2,1209.2,1.60K,-0.97%
31-Mar-16,1234.2,1225.6,1239.6,1224.5,3.38K,0.59%
30-Mar-16,1226.9,1241.4,1245,1223.4,48.25K,-0.70%
29-Mar-16,1235.6,1217.8,1217.8,1217.7,0.04K,1.29%
28-Mar-16,1219.9,1211.5,1222.2,1210,0.03K,0.26%
25-Mar-16,1216.7,1216.7,1216.7,1216.7,-,-0.38%
24-Mar-16,1221.4,1214.2,1221.3,1214.2,0.01K,-0.19%
23-Mar-16,1223.7,1247.7,1247.7,1218.6,0.03K,-1.96%
22-Mar-16,1248.2,1244,1252.4,1243.8,0.02K,0.35%
21-Mar-16,1243.8,1256.2,1256.2,1243.4,1.06K,-0.80%
18-Mar-16,1253.8,1257.1,1264.4,1251.5,0.54K,-0.85%
17-Mar-16,1264.5,1261.5,1270.1,1255.9,0.03K,2.86%
16-Mar-16,1229.3,1229.5,1263.8,1228.9,0.05K,-0.09%
15-Mar-16,1230.4,1228.3,1236,1228,0.04K,-1.13%
14-Mar-16,1244.4,1256,1258,1234.5,0.06K,-1.14%
11-Mar-16,1258.7,1270,1280.7,1249.4,0.09K,-1.05%
10-Mar-16,1272,1250,1273,1237.5,0.12K,1.23%
9-Mar-16,1256.6,1254.5,1260,1244.8,0.08K,-0.44%
8-Mar-16,1262.1,1268.7,1276.3,1261,0.04K,-0.09%
7-Mar-16,1263.2,1259.8,1272.3,1259.7,0.07K,-0.53%
4-Mar-16,1269.9,1263,1279.9,1250.9,0.27K,0.99%
3-Mar-16,1257.4,1238.4,1267.9,1238,0.12K,1.31%
2-Mar-16,1241.1,1232.8,1242.6,1226,0.27K,0.88%
1-Mar-16,1230.3,1240.5,1248.4,1229,0.48K,-0.29%
29-Feb-16,1233.9,1218.6,1241,1218.6,0.58K,1.16%
26-Feb-16,1219.8,1232.4,1239.1,1212.2,0.66K,-1.49%
25-Feb-16,1238.2,1239.4,1241.5,1235,0.05K,-0.04%
24-Feb-16,1238.7,1230,1250.1,1230,0.11K,1.34%
23-Feb-16,1222.3,1207.4,1226.1,1207.4,0.35K,1.06%
22-Feb-16,1209.5,1226.1,1226.1,1203,0.28K,-1.70%
19-Feb-16,1230.4,1230.8,1232.8,1221.8,0.08K,0.35%
18-Feb-16,1226.1,1209.6,1239.2,1201.6,0.32K,1.24%
17-Feb-16,1211.1,1196.5,1212.9,1196.5,0.05K,0.26%
16-Feb-16,1207.9,1233.1,1233.6,1193.6,0.42K,-0.02%
15-Feb-16,1208.1,1234,1235.1,1202.8,-,-2.07%
14-Feb-16,1233.6,1235.7,1235.9,1231.4,-,-0.44%
12-Feb-16,1239.1,1247.8,1247.8,1233.5,0.25K,-0.71%
11-Feb-16,1247.9,1205.6,1260.8,1204.6,1.00K,4.45%
10-Feb-16,1194.7,1189.8,1197.7,1182.1,0.67K,-0.33%
9-Feb-16,1198.7,1188.7,1199.2,1186.7,0.70K,0.07%
8-Feb-16,1197.9,1173.5,1200.4,1165,0.93K,3.46%
5-Feb-16,1157.8,1155.6,1174.8,1146,0.88K,0.02%
4-Feb-16,1157.6,1142.5,1157.3,1141,0.77K,1.43%
3-Feb-16,1141.3,1128.5,1146,1125,1.63K,1.24%
2-Feb-16,1127.3,1128.3,1131.4,1123,1.23K,-0.05%
1-Feb-16,1127.9,1116.7,1130,1115.3,1.68K,1.03%
29-Jan-16,1116.4,1114.4,1118.6,1108.8,6.96K,0.07%
28-Jan-16,1115.6,1125.4,1125.7,1109.8,52.86K,-0.04%
27-Jan-16,1116.1,1117.8,1117.8,1115.8,0.01K,-0.50%
26-Jan-16,1121.7,1115.1,1115.9,1114.3,0.18K,1.40%
25-Jan-16,1106.2,1099.3,1109.3,1099.3,0.01K,0.82%
22-Jan-16,1097.2,1098,1103.2,1098,0.00K,-0.17%
21-Jan-16,1099.1,1103.6,1103.6,1094.1,0.02K,-0.72%
20-Jan-16,1107.1,1099.8,1109.8,1099.8,0.03K,1.58%
19-Jan-16,1089.9,1089.8,1094.4,1084.9,0.02K,0.13%
18-Jan-16,1088.5,1090.2,1093.3,1087.4,-,-0.17%
17-Jan-16,1090.3,1088.6,1090.8,1088.6,-,-0.11%
15-Jan-16,1091.5,1085,1095.8,1081.8,0.04K,1.64%
14-Jan-16,1073.9,1091.5,1091.5,1073.7,0.06K,-1.25%
13-Jan-16,1087.5,1081.5,1093.9,1081.5,0.05K,0.18%
12-Jan-16,1085.6,1093.8,1098.5,1084,0.09K,-0.99%
11-Jan-16,1096.5,1105.7,1107.9,1096.5,0.04K,-0.12%
8-Jan-16,1097.8,1111.1,1111.1,1093,0.10K,-0.89%
7-Jan-16,1107.7,1091.6,1109.4,1091.6,0.12K,1.45%
6-Jan-16,1091.9,1081.6,1093.7,1081.6,0.05K,1.25%
5-Jan-16,1078.4,1075.6,1081.5,1075.3,0.08K,0.31%
4-Jan-16,1075.1,1063.4,1082.5,1063.2,0.14K,1.40%
31-Dec-15,1060.3,1061.9,1062,1058.5,0.01K,0.02%
30-Dec-15,1060.1,1068.6,1070.2,1059.7,0.07K,-1.61%
29-Dec-15,1077.5,1079.1,1079.7,1079.1,0.07K,0.65%
28-Dec-15,1070.5,1077.9,1098.8,1073.6,0.36K,-0.62%
24-Dec-15,1077.2,1074.3,1077.8,1073.5,0.02K,0.73%
23-Dec-15,1069.4,1074.5,1074.8,1070,0.20K,-0.50%
22-Dec-15,1074.8,1078.6,1078.6,1073.8,0.11K,-0.66%
21-Dec-15,1081.9,1070.2,1081.5,1070.2,0.03K,1.47%
18-Dec-15,1066.2,1053.7,1070.3,1052.7,0.25K,1.47%
17-Dec-15,1050.8,1072.6,1072.6,1050.5,0.06K,-2.52%
16-Dec-15,1078,1064.8,1078.7,1064.3,0.08K,1.42%
15-Dec-15,1062.9,1064.6,1066.2,1061.8,0.22K,-0.17%
14-Dec-15,1064.7,1074,1076.7,1060,0.51K,-1.13%
11-Dec-15,1076.9,1067.8,1079.4,1064.4,0.41K,0.35%
10-Dec-15,1073.1,1073,1076.3,1071.7,0.23K,-0.42%
9-Dec-15,1077.6,1075.1,1086,1070.6,0.39K,0.12%
8-Dec-15,1076.3,1071,1078.4,1069.6,0.31K,-0.01%
7-Dec-15,1076.4,1084.9,1086.5,1067.4,0.66K,-0.75%
4-Dec-15,1084.5,1063,1088.8,1058.7,0.89K,2.15%
3-Dec-15,1061.7,1054.4,1064.6,1046.2,1.16K,0.71%
2-Dec-15,1054.2,1068.7,1069.5,1049.6,0.50K,-0.90%
1-Dec-15,1063.8,1064.6,1074.6,1063.4,3.44K,-0.19%
30-Nov-15,1065.8,1056.5,1068.4,1052.1,4.60K,0.91%
27-Nov-15,1056.2,1070.7,1074.2,1051.1,52.13K,-1.36%
26-Nov-15,1070.8,1070.1,1074.2,1069.2,-,0.03%
25-Nov-15,1070.5,1070.2,1072,1068.5,0.06K,-0.35%
24-Nov-15,1074.3,1073.2,1079.4,1073.2,0.22K,0.70%
23-Nov-15,1066.8,1070,1071.5,1067.3,0.06K,-0.89%
20-Nov-15,1076.4,1082.9,1082.9,1082.9,0.01K,-0.15%
19-Nov-15,1078,1077.4,1082.4,1077.4,0.01K,0.86%
18-Nov-15,1068.8,1064,1071.9,1064,0.01K,0.01%
17-Nov-15,1068.7,1075.5,1075.8,1065.1,0.01K,-1.38%
16-Nov-15,1083.7,1092,1092.4,1085.4,0.01K,0.27%
13-Nov-15,1080.8,1083.1,1085.9,1081.3,0.02K,0.00%
12-Nov-15,1080.8,1086,1086.6,1086,0.00K,-0.36%
11-Nov-15,1084.7,1091.4,1091.4,1084.2,0.02K,-0.32%
