City,Population
Lake Mills,2060
Colfax,2051
Ogden and Wapello,2041
Audubon,2017
Sumner,2009
Sigourney,2005
Northwood,1995
Britt,1973
Parkersburg,1960
Epworth,1955
Alta,1936
Leon,1903
Greenfield,1883
New London,1882
Guttenberg,1861
Columbus Junction,1860
Denver,1835
Monroe,1831
Durant,1816
Atkins,1795
Dallas Center,1792
Pocahontas,1740
Prairie City,1709
Farley,1691
Mount Ayr,1686
Blue Grass,1676
Lake City,1670
Pleasantville,1669
Traer,1655
Reinbeck,1639
Walcott,1636
Moville,1634
Remsen,1632
Nashua,1621
Peosta,1618
Hartley,1616
Manson,1615
Stuart,1602
Corydon,1589
Mediapolis,1574
Ackley,1560
Corning,1537
Guthrie Center,1513
Oakland,1507
Slater,1506
Avoca,1504
Woodward,1503
Monona,1500
Fayette,1491
Manning,1472
State Center,1470
Logan,1465
Walford and Urbana,1459
Akron,1450
Granger and Wellman,1431
Woodbine,1422
Brooklyn,1420
Bedford and Lone Tree,1415
Montezuma,1411
Clarksville,1409
Earlham,1405
Kingsley,1396
Holstein,1391
Nora Springs,1389
Lenox and Sanborn,1385
Dysart,1354
Tripoli,1342
Shell Rock,1323
Manly,1310
Roland,1304
Maharishi Vedic City and Buffalo,1299
New Sharon,1291
Dike,1289
Coon Rapids and Central City,1269
Alton,1264
Melcher-Dallas,1259
Strawberry Point,1236
Arnolds Park,1234
Beaverdale,1231
Mapleton,1214
Elkader,1213
Lake Panorama,1196
Villisca,1194
Jewell Junction,1187
Laurens,1180
St. Ansgar,1156
Winfield and Van Meter,1142
Sheffield,1140
Springville,1139
Lake Park,1137
Elk Run Heights,1134
Glidden,1127
Lake View,1125
Greene,1120
University Heights,1119
Fairbank and Malvern,1117
Gilbert,1116
Mechanicsville,1108
Baxter,1103
Conrad,1100
De Soto,1089
Panora,1085
Hamburg,1082
Aplington,1079
Marcus,1070
George,1055
Palo,1053
Riverside,1045
Sidney,1044
Allison,1029
North English,1022
Rockwell,1019
Paullina,1017
Eddyville,1012
Gowrie,999
Aurelia,992
Griswold,984
Sloan and Tabor,979
Odebolt and Preston,978
Fruitland and Dunlap,977
Keota and Clarence,970
Wayland,969
West Point,962
Calmar and Lawton,960
Washburn,957
Anita,956
Janesville,954
Treynor,952
Shellsburg,951
Keosauqua,947
Le Grand,946
Swisher,943
Underwood,940
Lansing,939
Hinton,938
Danville,936
Princeton,929
Maxwell,923
Fredericksburg,922
Eldon,915
Donnellson,901
Buffalo Center,895
Gladbrook,890
Armstrong,889
Victor,888
Larchwood,886
Montrose,885
Schleswig,881
Primghar,879
Redfield,873
Newell,871
Edgewood,867
Neola,862
Colo,861
Newhall,850
Winthrop,849
Long Grove and Rockford,844
Dunkerton,842
McGregor,839
Hubbard,834
Afton,829
Melbourne,827
Readlyn,826
Oxford,825
Hills and Sully,822
Morning Sun and Cambridge,821
Ossian,819
Okoboji and Hazleton,818
Carson and Raymond,816
Dakota City,813
"Correctionville, Inwood, and Graettinger",811
Riceville,810
Dayton,798
Wall Lake,795
Walker,792
Earlville,790
Grand Junction,789
Exira,788
Sioux Rapids,777
Walnut,776
Manilla,775
Milo,772
Essex and Lowden,770
Alden,764
Hartford,762
West Bend,759
Whiting,753
Gilbertville,747
Schaller,745
Hedrick,744
Elkhart,742
Murray,735
Wheatland and Merrill,733
Fremont,729
Adair,728
Garnavillo,726
Stratford,725
Ventura,718
Hospers,714
Bancroft,710
Boyden,708
Ruthven,704
Lakeside,700
Wellsburg,699
Seymour,696
Battle Creek and Alburnett,695
Olin and Albert City,688
Shueyville,672
Blairstown,670
Van Horne,664
Stanwood,662
Coggon and Brighton,659
Elgin and Farmington,649
Coalville,646
Moravia,643
Agency,641
Stanton,639
Elk Horn,638
Fontanelle,636
Dexter and Crescent,630
St. Charles,628
Kanawha and Dumont,627
Pomeroy,625
What Cheer,622
Shelby and Sutherland,618
Grand Mound,617
Orleans,614
Hopkinton,613
Clermont and Keystone,609
Goldfield,608
Fonda,607
Ireton,602
Middle Amana,595
Minden,594
Kellogg,592
Doon,591
Moulton,585
Everly,581
Ainsworth,571
Anthon,569
Richland,562
Holiday Lake and Rolfe,559
Sabula,552
Badger,550
Quasqueton,547
Elma,539
Radcliffe,538
Russell and Zearing,537
Grandview,534
Early,532
Scranton,530
Norway,526
Otho,524
Swea City,521
Lovilia,519
Runnells and Batavia,516
Dows,514
Burt and Wyoming,511
Ellsworth,509
New Hartford and Garwin,508
Gilman,504
Delmar,502
Maynard and Dow City,499
New Albin,496
Allerton,495
Charter Oak and Whittemore,492
Humeston and Gilmore City,491
Lime Springs,490
Thompson,487
New Virginia,485
Oxford Junction and Klemme,484
"Collins, Truro, and Latimer",483
Beacon,480
University Park,477
Albion,476
Breda,475
Stacyville,473
Martensdale,472
Arcadia and Delhi,471
Ocheyedan,466
Lamont and Pacific Junction,457
Bayard,456
Titonka,452
Marquette,451
Alleman,443
Little Rock,441
Miles and Farragut,439
Birmingham,433
Galva,432
Ashton,430
Royal,427
"Emerson, Plainfield, and Earling",425
"Lost Nation, New Vienna, and Vail",424
Hawkeye and Lawler,423
Andrew,422
Bonaparte,419
Conesville,418
Lewis,416
Calamus,414
Riverdale and Milton,413
Stanhope,412
Worthington and Mystic,411
Bussey and Arlington,410
Thornton and New Market,408
Casey,402
Lehigh,399
Colesburg and Cumming,397
Duncombe and Bennett,394
Ringsted,392
Lynnville,390
Union,386
Minburn,384
Holy Cross and Wesley,381
Salix,380
Orient,379
Letts,377
Salem,376
Mondamin,374
Plymouth,373
Nichols and Fertile,372
Columbus City,371
Charlotte,370
Donahue and Churdan,369
Livermore,366
Callender,365
Terril,364
Garrison and Lacona,363
Ryan,362
Rudd,361
Farnhamville,359
Pierson,357
Spillville,355
Ute,353
Lohrville,350
Lorimor,349
Massena and Templeton,348
Clearfield,347
Cincinnati,345
"Diamondhead Lake, Wahpeton, and Menlo",343
Danbury,342
Middletown,338
Fort Atkinson,336
"Williams, McCallsburg, and Conroy",335
Amana,334
Libertyville and Irwin,333
"Elliott, Diagonal, and Floyd",328
Bronson,323
Sheldahl,320
Harpers Ferry,319
Peterson,318
Delta and Granville,317
McCausland and Auburn,314
Kellerton,312
"Ridgeway, Steamboat Rock, Denmark, and Kelley",309
Rhodes,308
Brandon,307
Atalissa,306
Liscomb,304
Quimby,303
"Kimballton, Lytton, Marble Rock, and Mingo",301
Bertram,300
Westside and Persia,299
Bagley,296
West Okoboji,295
Harcourt and Lester,294
Stockport and Bode,293
Twin Lakes,288
Lakota,287
Blakesburg and Ionia,286
Leland,285
"Rippey, Ladora, and Lockridge",283
Riverton,282
Holland and Maurice,280
"Defiance, Low Moor, and Protivin",279
Malcom,278
Farmersburg and Kiron,277
Luana,276
Pulaski,275
Coulter,271
Deep River,270
Crawfordsville and Corwith,269
"Mallard, Kensett, and Rowley",267
Deloit,264
Dedham and Fenton,263
Modale,262
Alta Vista and Chelsea,261
Waucoma,257
Lu Verne,255
Martelle,254
"La Motte, Wadena, Cumberland, and Grafton",253
Luxemburg,252
Greeley,251
Dixon and Meservey,248
Montour,247
Halbur and Prescott,246
Crystal Lake and Macedonia,245
Yale,244
Silver City,243
Laurel,242
Keswick and Fostoria,240
"Pisgah, Marathon, and Fredonia",239
Harvey,238
Weston and Washta,237
Renwick and Goose Lake,235
Olds,234
Stone City,231
Paton,229
"Cleghorn, Hanlontown, and New Providence",227
Hornick,226
Smithland and Grand River,225
