Mozido,2.39,2.39 B,10/22/14,United States,Fin Tech,"Wellington Management, TomorrowVentures, Mastercard Worldwide",,,
Adyen,2.30,2.3 B,12/16/14,Netherlands,Fintech,"Felicis Ventures, Index Ventures, Temasek Holdings",,,
Houzz,2.30,2.3 B,9/30/14,United States,eCommerce/Marketplace,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",,,
Klarna,2.25,2.25 B,12/12/11,Sweden,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",,,
SurveyMonkey,2.00,2 B,12/14/11,United States,Internet Software & Services,"The Social+Capital Partnership, TPG Capital, Google Capital",,,
Huimin,2.00,2 B,9/5/16,China,On-Demand,"Zheshang Venture Capital, GP Capital, Western Capital Management",,,
Evernote,2.00,2 B,5/24/12,United States,Internet Software & Services,"Salesforce Ventures, Morgenthaler Ventures, New Enterprise Associates",,,
Zenefits,2.00,2 B,5/6/15,United States,Fintech,"SV Angel, Institutional Venture Partners, Venrock",,,
Greensky,2.00,2 B,10/22/15,United States,Fintech,"DST Global, QED Investors, TPG Capital",,,
Avant,2.00,2 B,9/30/15,United States,Fintech,"RRE Ventures, Tiger Global, August Capital",,,
Github,2.00,2 B,7/30/15,United States,Internet Software & Services,"Sequoia Capital, Thrive Capital, SV Angel",,,
Meitu,2.00,2 B,6/30/14,China,Social,"QiMing Venture Partners, Innovation Works",,,
Domo Technologies,2.00,2 B,4/8/15,United States,Big Data,"Institutional Venture Partners, Benchmark Capital, Founders Fund",,,
Trendy Group International,2.00,2 B,2/13/12,China,Clothing & Accessories,L Capital Partners,,,
Weiying,2.00,2 B,11/17/15,China,eCommerce/Marketplace,"Tencent, iDreamSky Technology, GGV Capital",,,
Instacart,2.00,2 B,12/30/14,United States,On-Demand,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",,,
Blue Apron,2.00,2 B,6/9/15,United States,eCommerce/Marketplace,"Bessemer Venture Partners, First Round Capital, BoxGroup",,,
Prosper Marketplace,1.90,1.9 B,4/8/15,United States,Fintech,"Accel Partners, DAG Ventures, Draper Fisher Jurvetson",,,
AppDynamics,1.90,1.9 B,7/22/14,United States,Big Data,"Battery Ventures, Kleiner Perkins Caufield & Byers, Institutional Venture Partners",,,
Zocdoc,1.80,1.8 B,8/20/15,United States,Healthcare,"Founders Fund, Khosla Ventures, Goldman Sachs",,,
Sprinklr,1.80,1.8 B,3/31/15,United States,Internet Software & Services,"Azure Capital Partners, Battery Ventures, Intel Capital",,,
CJ Games,1.79,1.79 B,3/26/14,South Korea,Gaming,Tencent,,,
The Honest Company,1.70,1.7 B,8/13/15,United States,eCommerce/Marketplace,"General Catalyst Partners, Iconiq Capital, Lightspeed Venture Partners",,,
CureVac,1.65,1.65 B,3/5/15,Germany,Healthcare,"Northview Ventures, dievini Hopp BioTech Holding & Co.m Baillie Gifford & Co.",,,
MongoDB,1.60,1.6 B,10/4/13,United States,Big Data,"Intel Capital, Salesforce Ventures, Union Square Ventures",,,
BlaBlaCar,1.60,1.6 B,9/16/15,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners",,,
Skyscanner,1.60,1.6 B,1/12/16,Scotland,Internet Software & Services,"Sequoia Capital, Scottish Equity Partners, Yahoo",,,
Insidesales.com,1.50,1.5 B,4/28/14,United States,Big Data,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers",,,
Quanergy Systems,1.59,1.59 B,8/24/16,United States,Auto Tech,"Delphi Automotive, Samsung Ventures, Motus Ventures",,,
Mu Sigma,1.50,1.5 B,2/7/13,United States,Big Data,"Sequoia Capital, General Atlantic",,,
STX Entertainment,1.50,1.5 B,8/10/16,United States,Entertainment,"Tencent, TPG Growth, Hony Capital",,,
Jawbone,1.50,1.5 B,7/13/11,United States,Hardware,"Mayfield Fund, Khosla Ventures, T-Venture",,,
GuaHao,1.50,1.5 B,9/22/15,China,Healthcare,"Tencent, Morningside Group",,,
Farfetch,1.50,1.5 B,3/4/15,United Kingdom,eCommerce/Marketplace,"Advent Venture Partners, Index Ventures, e.ventures",,,
Razer,1.50,1.5 B,10/15/14,United States,Hardware,"Accel Partners, Intel Capital",,,
MuleSoft,1.50,1.5 B,5/19/15,United States,Internet Software & Services,"New Enterprise Associates, Sapphire Ventures, Salesforce Ventures",,,
Buzzfeed,1.50,1.5 B,8/18/15,United States,Media,"SV Angel, RRE Ventures, New Enterprise Associates",,,
ironSource,1.50,1.5 B,8/11/14,Israel,Mobile Software & Services,"Access Industries, Clal Industries and Investments",,,
